stocks,std,rendimiento,riesgo,coeficiente_variacion,beta,alfa,Riesgo_sistematico,Riesgo_no_sistematico,sharpie,teynor
DISH,0.0329147521650077,-0.0473756089950322,0.7382009196500599,-15.581877158085009,1.449627938863684,-0.0012731787824721,0.5061880528101135,0.4938119471898865,-0.1667237275366381,-0.0849015155512987
DLR,0.0217372366708915,0.1818927742563776,0.4875153858263701,2.680235033081731,0.7786042096642721,0.0001389395957609,0.3348149142028823,0.6651850857971177,0.2178244571222588,0.1363886464243073
DLTR,0.0264371450260874,0.1990565241855138,0.5929233394601551,2.9786682043516994,0.7675156423621936,0.0002153505307897,0.2199506916463511,0.7800493083536488,0.2080480156133295,0.1607218372851108
DOV,0.0227552849655169,0.2032509601928364,0.5103478283607422,2.510924562799332,1.171902562720027,-7.072582258886139e-05,0.6921471244130455,0.3078528755869545,0.249929465953711,0.1088409260722036
DOW,0.0310344577473082,-0.0007263582277894,0.6960303129445866,-958.2466148457928,1.3666408912436192,-0.0010259392419383,0.506058200958079,0.493941799041921,-0.1098032036916098,-0.0559227802398351
DPZ,0.0218131331445903,0.312996320764386,0.4892175662469242,1.5630137921499474,0.4121710167835091,0.0009335008364525,0.0931748638519172,0.9068251361480828,0.4850527395915598,0.5757229671707479
DRE,0.0224293020996354,0.302058802353676,0.5030367949925592,1.665360489655789,1.0687715041783117,0.0003985719069825,0.5925406904585677,0.4074593095414323,0.4499845828514877,0.2117934483364657
DRI,0.0393701135997299,0.1564854831504392,0.8829795807165584,5.6425654504175,1.6123026981227364,-0.0005859832691558,0.4376629605418677,0.5623370394581322,0.0914919041331397,0.050105655249787
DTE,0.0227393714168982,0.0328574276716082,0.5099909246791853,15.521328382010344,1.0522383472206198,-0.0006573109221241,0.5587934506575958,0.4412065493424042,-0.0840065386562364,-0.0407156538645032
DUK,0.0198180598051298,0.065281557131921,0.4444727367377789,6.808549861021047,0.8517575723308501,-0.0003785653744163,0.4820473561738461,0.5179526438261539,-0.0234400043173522,-0.0122316997306741
DVA,0.0221825106531495,0.1998415800935334,0.4975018399716515,2.4894811166865365,0.7957000699115923,0.0001973671861568,0.3357819624819999,0.664218037518,0.2495298913881548,0.1560155450373737
DVN,0.0502399750165536,0.2339700440211009,1.126765153038094,4.815852207714569,1.791881116286314,-0.0004129358767097,0.3319705239855889,0.6680294760144111,0.1404640919133484,0.0883261967451929
